sample	chemistry	basecaller	folder
HG00097	R10	dorado_mid	HG00097-ONT-hg38-R10-LSK114-dorado034_sup_5mCG_5hmCG_v33
HG00102	R10	dorado_late	HG00102-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00105	R9	guppy	HG00105-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00108	R9	dorado_mid	HG00108-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG00109	R10	dorado_late	HG00109-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00110	R9	guppy	HG00110-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00112	R10	dorado_late	HG00112-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00113	R10	dorado_late	HG00113-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00115	R10	dorado_late	HG00115-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00116	R10	dorado_late	HG00116-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG00119	R10	dorado_late	HG00119-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00121	R9	guppy	HG00121-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00126	R9	dorado_mid	HG00126-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG00127	R9	guppy	HG00127-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00136	R9	guppy	HG00136-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00142	R10	dorado_mid	HG00142-ONT-hg38-R10-LSK114-dorado034_sup_5mCG_5hmCG_v33
HG00143	R10	dorado_mid	HG00143-ONT-hg38-R10-LSK114-dorado050_sup_5mCG_v430
HG00145	R10	dorado_mid	HG00145-ONT-hg38-R10-LSK114-dorado050_sup_5mCG_5hmCG_v430
HG00151	R9	guppy	HG00151-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00154	R10	dorado_late	HG00154-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00155	R10	dorado_late	HG00155-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00160	R10	dorado_late	HG00160-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00171	R10	dorado_late	HG00171-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00231	R10	dorado_late	HG00231-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG00232	R9	guppy	HG00232-ONT-hg38-R9-LSK110-guppy637_sup_5mC_5hmC
HG00233	R9	dorado_mid	HG00233-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG00234	R10	dorado_late	HG00234-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00236	R10	dorado_late	HG00236-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00237	R10	dorado_late	HG00237-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00238	R9	dorado_mid	HG00238-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG00240	R9	dorado_mid	HG00240-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG00245	R9	dorado_late	HG00245-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG00246	R10	dorado_late	HG00246-ONT-hg38-LSK114-R10-dorado081_sup_5mCG_5hmCG_v500
HG00250	R10	dorado_late	HG00250-ONT-hg38-LSK114-R10-dorado081_sup_5mCG_5hmCG_v500
HG00253	R10	dorado_late	HG00253-ONT-hg38-LSK114-R10-dorado081_sup_5mCG_5hmCG_v500
HG00256	R10	dorado_late	HG00256-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG00257	R9	dorado_mid	HG00257-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG00259	R10	dorado_late	HG00259-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG00262	R10	dorado_late	HG00262-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00263	R10	dorado_mid	HG00263-ONT-hg38-R10-LSK114-dorado034_sup_5mCG_5hmCG_v33
HG00264	R10	dorado_late	HG00264-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG00277	R10	dorado_mid	HG00277-ONT-hg38-R10-LSK114-dorado034_sup_5mCG_5hmCG_v33
HG00285	R10	dorado_late	HG00285-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00304	R10	dorado_late	HG00304-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00318	R10	dorado_late	HG00318-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00320	R10	dorado_late	HG00320-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG00326	R10	dorado_mid	HG00326-ONT-hg38-R10-LSK114-dorado034_sup_5mCG_5hmCG_v33
HG00331	R9	guppy	HG00331-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG00337	R9	dorado_mid	HG00337-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG00355	R9	dorado_mid	HG00355-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG00372	R10	dorado_mid	HG00372-ONT-hg38-R10-LSK114-dorado034_sup_5mCG_5hmCG_v33
HG00382	R10	dorado_late	HG00382-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00410	R9	guppy	HG00410-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00463	R10	dorado_mid	HG00463-ONT-hg38-R10-LSK114-dorado034_sup_5mCG_5hmCG_v33
HG00473	R9	guppy	HG00473-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00513	R10	dorado_late	HG00513-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00525	R9	guppy	HG00525-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00533	R10	dorado_late	HG00533-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00553	R10	dorado_late	HG00553-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00556	R10	dorado_late	HG00556-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00581	R10	dorado_late	HG00581-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00590	R10	dorado_late	HG00590-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00598	R10	dorado_late	HG00598-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00599	R9	guppy	HG00599-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG00623	R9	dorado_mid	HG00623-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG00625	R10	dorado_late	HG00625-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00631	R9	guppy	HG00631-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00653	R10	dorado_late	HG00653-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00663	R10	dorado_late	HG00663-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00674	R10	dorado_late	HG00674-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00675	R9	guppy	HG00675-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00693	R10	dorado_late	HG00693-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00704	R10	dorado_late	HG00704-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG00705	R9	guppy	HG00705-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG00728	R9	guppy	HG00728-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG00729	R9	dorado_mid	HG00729-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG00731	R10	dorado_late	HG00731-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG00742	R10	dorado_late	HG00742-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG00743	R9	guppy	HG00743-ONT-hg38-R9-LSK110-guppy657_sup_with5mC_5hmC
HG00978	R9	guppy	HG00978-ONT-hg38-R9-LSK110-guppy637_sup_5mC_5hmC
HG01029	R9	guppy	HG01029-ONT-hg38-R9-LSK110-guppy657_sup_5mC_5hmC
HG01031	R9	dorado_late	HG01031-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG01046	R9	guppy	HG01046-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01052	R10	dorado_late	HG01052-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01061	R10	dorado_late	HG01061-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01063	R10	dorado_mid	HG01063-ONT-hg38-R10-LSK114-dorado050_sup_5mCG_5hmCG_v430
HG01064	R9	guppy	HG01064-ONT-hg38-R9-LSK110-guppy637_sup_5mC_5hmC
HG01077	R9	dorado_late	HG01077-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG01088	R10	dorado_late	HG01088-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01092	R9	dorado_mid	HG01092-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG01113	R10	dorado_late	HG01113-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01122	R9	guppy	HG01122-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01125	R10	dorado_late	HG01125-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01161	R9	guppy	HG01161-ONT-hg38-R9-LSK110-guppy637_sup_5mC_5hmC
HG01164	R9	dorado_mid	HG01164-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG01170	R10	dorado_late	HG01170-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01173	R10	dorado_late	HG01173-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01190	R10	dorado_late	HG01190-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01200	R10	dorado_late	HG01200-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01204	R10	dorado_late	HG01204-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01250	R10	dorado_late	HG01250-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01251	R10	dorado_late	HG01251-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01260	R10	dorado_late	HG01260-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01271	R10	dorado_late	HG01271-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01277	R10	dorado_late	HG01277-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01281	R9	guppy	HG01281-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01303	R10	dorado_late	HG01303-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01305	R10	dorado_late	HG01305-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01312	R9	guppy	HG01312-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG01323	R10	dorado_late	HG01323-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01326	R10	dorado_late	HG01326-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01334	R10	dorado_late	HG01334-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01342	R10	dorado_late	HG01342-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01363	R9	guppy	HG01363-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG01369	R9	guppy	HG01369-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01372	R9	guppy	HG01372-ONT-hg38-R9-LSK110-guppy-sup-5mC
