sample	sex	platform	basecaller
HG00097	F	R10	dorado_mid
HG00102	F	R10	dorado_late
HG00105	M	R9	guppy
HG00108	M	R9	dorado_mid
HG00109	M	R10	dorado_late
HG00110	F	R9	guppy
HG00112	M	R10	dorado_late
HG00113	M	R10	dorado_late
HG00115	M	R10	dorado_late
HG00116	M	R10	dorado_late
HG00119	M	R10	dorado_late
HG00121	F	R9	guppy
HG00126	M	R9	dorado_mid
HG00127	F	R9	guppy
HG00136	M	R9	guppy
HG00142	M	R10	dorado_mid
HG00143	M	R10	dorado_mid
HG00145	M	R10	dorado_mid
HG00151	M	R9	guppy
HG00154	F	R10	dorado_late
HG00155	M	R10	dorado_late
HG00160	M	R10	dorado_late
HG00171	F	R10	dorado_late
HG00231	F	R10	dorado_late
HG00232	F	R9	guppy
HG00233	F	R9	dorado_mid
HG00234	M	R10	dorado_late
HG00236	F	R10	dorado_late
HG00237	F	R10	dorado_late
HG00238	F	R9	dorado_mid
HG00240	F	R9	dorado_mid
HG00245	F	R9	dorado_late
HG00246	M	R10	dorado_late
HG00250	F	R10	dorado_late
HG00253	F	R10	dorado_late
HG00256	M	R10	dorado_late
HG00257	F	R9	dorado_mid
HG00259	F	R10	dorado_late
HG00262	F	R10	dorado_late
HG00263	F	R10	dorado_mid
HG00264	M	R10	dorado_late
HG00277	M	R10	dorado_mid
HG00285	F	R10	dorado_late
HG00304	F	R10	dorado_late
HG00318	F	R10	dorado_late
HG00320	F	R10	dorado_late
HG00326	F	R10	dorado_mid
HG00331	F	R9	guppy
HG00337	F	R9	dorado_mid
HG00355	F	R9	dorado_mid
HG00372	M	R10	dorado_mid
HG00382	M	R10	dorado_late
HG00410	F	R9	guppy
HG00463	M	R10	dorado_mid
HG00473	F	R9	guppy
HG00513	F	R10	dorado_late
HG00525	F	R9	guppy
HG00533	M	R10	dorado_late
HG00553	M	R10	dorado_late
HG00556	M	R10	dorado_late
HG00581	F	R10	dorado_late
HG00590	F	R10	dorado_late
HG00598	M	R10	dorado_late
HG00599	F	R9	guppy
HG00623	F	R9	dorado_mid
HG00625	M	R10	dorado_late
HG00631	M	R9	guppy
HG00653	M	R10	dorado_late
HG00663	F	R10	dorado_late
HG00674	M	R10	dorado_late
HG00675	F	R9	guppy
HG00693	F	R10	dorado_late
HG00704	M	R10	dorado_late
HG00705	F	R9	guppy
HG00728	M	R9	guppy
HG00729	F	R9	dorado_mid
HG00731	M	R10	dorado_late
HG00742	M	R10	dorado_late
HG00743	F	R9	guppy
HG00978	F	R9	guppy
HG01029	F	R9	guppy
