name	n_tested	n_mwu_sig	n_fisher_sig	mean_delta	mean_abs_delta	frac_mwu_sig	frac_fisher_sig	pip	stratum	nearest_gene	neglogp
chr10:101652095	428	78	106	-0.0025747663551401	0.0227710280373831	0.1822429906542056	0.2476635514018691	0.73027354	PIP_0.5-0.9	RNU2-43P	10.28588182797928
chr10:102687687	437	47	102	-0.0003569794050343	0.0250755148741418	0.1075514874141876	0.2334096109839817	0.6877815	PIP_0.5-0.9	ARL3	19.049324317062183
chr10:104480757	446	7	121	1.345291479820629e-05	0.0430627802690583	0.0156950672645739	0.2713004484304933	0.9730497	PIP>0.9	LINC02620	30.5493716022358
chr10:104925793	424	14	98	1.4150943396226608e-05	0.0468632075471698	0.0330188679245283	0.2311320754716981	0.8121613	PIP_0.5-0.9	SORCS3-AS1	12.082821398729946
chr10:105169240	428	1	75	0.0016565420560747	0.0559789719626168	0.0023364485981308	0.175233644859813	0.9747531	PIP>0.9	RNU6-463P	49.10259424160668
chr10:105503063	421	6	82	-0.0031638954869358	0.0552256532066508	0.014251781472684	0.1947743467933491	0.040465534	PIP<0.1	RNU6-463P	15.223924605658008
chr10:105952581	425	10	106	-0.0036282352941176	0.05584	0.0235294117647058	0.2494117647058823	0.27821445	PIP_0.1-0.5	ENSG00000286609	10.18087636043084
chr10:106017812	447	38	153	0.0012863534675615	0.0446778523489933	0.0850111856823266	0.3422818791946309	0.99628305	PIP>0.9	ENSG00000286609	30.373351538563984
chr10:106183184	437	10	89	-0.0025491990846681	0.0524530892448512	0.022883295194508	0.2036613272311213	0.9198278	PIP>0.9	LINC02624	11.92867455533725
chr10:107046481	444	7	111	-0.0006373873873873	0.0392905405405405	0.0157657657657657	0.25	0.99513334	PIP>0.9	RNA5SP325	19.41208934554151
chr10:107804453	442	4	87	-0.0022760180995475	0.0560135746606334	0.0090497737556561	0.1968325791855203	0.7914081	PIP_0.5-0.9	RNA5SP326	14.204441147620418
